"Title","Year","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney."
"Breaking Bad",2008,"18+",9.5,0.96,1,0,0,0
"Stranger Things",2016,"16+",8.8,0.93,1,0,0,0
"Money Heist",2017,"18+",8.4,0.91,1,0,0,0
"Sherlock",2010,"16+",9.1,0.78,1,0,0,0
"Better Call Saul",2015,"18+",8.7,0.97,1,0,0,0
"The Office",2005,"16+",8.9,0.81,1,0,0,0
"Black Mirror",2011,"18+",8.8,0.83,1,0,0,0
"Supernatural",2005,"16+",8.4,0.93,1,0,0,0
"Peaky Blinders",2013,"18+",8.8,0.92,1,0,0,0
"Avatar: The Last Airbender",2005,"7+",9.2,1,1,0,0,0
"The Walking Dead",2010,"18+",8.2,0.81,1,0,0,0
"Dark",2017,"16+",8.7,0.94,1,0,0,0
"Ozark",2017,"18+",8.4,0.81,1,0,0,0
"Attack on Titan",2013,"16+",8.8,0.94,1,1,0,0
"Narcos",2015,"18+",8.8,0.89,1,0,0,0
"Fullmetal Alchemist: Brotherhood",2009,"18+",9.1,1,1,1,0,0
"Community",2009,"7+",8.5,0.88,1,1,0,0
"Mindhunter",2017,"18+",8.6,0.96,1,0,0,0
"Parks and Recreation",2009,"16+",8.6,0.93,1,1,1,0
"Dexter",2006,"18+",8.6,0.72,1,0,0,0
"Marvel's Daredevil",2015,"18+",8.6,0.92,1,0,0,0
"The Witcher",2019,"18+",8.3,0.67,1,0,0,0
"Twin Peaks",1990,"18+",8.8,0.89,1,1,0,0
"One-Punch Man",2015,"16+",8.8,1,1,1,0,0
"Outlander",2014,"18+",8.4,0.91,1,0,0,0
"House of Cards",2013,"18+",8.7,0.78,1,0,0,0
"Shameless",2011,"18+",8.6,0.85,1,0,0,0
"The Good Place",2016,"16+",8.2,0.97,1,1,0,0
"The Haunting",2018,"18+",8.7,0.93,1,0,0,0
"The Blacklist",2013,"16+",8,0.91,1,0,0,0
"The Flash",2014,"7+",7.7,0.89,1,0,0,0
"The Last Kingdom",2015,"18+",8.4,0.91,1,0,0,0
